District.Name,Village.Name,Total.Population.of.Village,Total.Households,population_stratum,agriculture_index,education_index,health_index,infrastructure_index,irrigation_index,social_index,composite_index_equal,composite_index_sdg,composite_index_expert
Palwal ,Harphali(3),1762,304,medium,67.89002466412175,49.85907189045264,14.730886268543172,42.11904761904762,71.5,24.499999999999996,45.099838407027526,43.33089678770173,49.728857032736954
Palwal ,Chhaprola(4),2411,407,medium,71.2211997576967,53.81114492202358,14.730886268543172,42.15238095238095,62.291519434628974,24.499999999999996,44.78452188921222,43.24471557324651,49.31776564779213
Palwal ,Sehrala(5),1936,322,medium,69.94707111795857,20.625332826169643,41.82674020540129,34.95238095238095,62.3448275862069,24.499999999999996,42.36605878135289,42.11839356506622,47.01640139432381
Palwal ,Dungarpur(13),1736,242,medium,63.960727709302404,16.582350703689613,14.730886268543172,39.31904761904762,60.0,24.499999999999996,36.51550205009713,33.94115800712622,41.035024616017665
Palwal ,Teharki(12),2268,399,medium,66.38634684179875,22.79821224800304,14.730886268543172,45.60476190476191,55.87244897959184,37.0,40.39877604044978,37.121897675659284,43.94115556956428
Palwal ,Bhurja(10),1244,225,medium,64.14929141553999,27.633701027006463,14.730886268543172,39.71904761904762,67.49321266968326,24.499999999999996,39.70435649997008,37.36369452817772,44.29851062501125
Palwal ,Sikandarpur(11),1767,273,medium,62.74881134226888,27.76359832635983,52.090148345378466,42.71904761904762,60.0,23.966666666666665,44.88137871662024,45.792102262480725,48.46978864585177
Palwal ,Nangla Bhiku(41),1126,187,medium,69.27887517606814,50.93514644351464,14.730886268543172,47.00476190476191,60.0,23.966666666666665,44.31938940992575,42.70896308462989,48.61700465320666
Palwal ,Chirwari(167),2352,414,medium,66.4817617743924,56.28889311525295,32.859452263217946,44.51904761904762,87.0,22.366666666666664,51.58597023976293,51.40942976453774,56.30721605989254
Palwal ,Khajurka(165),1922,301,medium,73.50760038830164,21.78071510079878,14.730886268543172,40.51904761904762,75.04285714285714,21.833333333333332,41.235739975480286,38.58262369315984,47.123402207238605
Palwal ,Fazalpur(63),2365,422,medium,61.29361459521095,50.325028527957386,42.29935336629897,39.11904761904762,67.4939024390244,20.23333333333333,46.79404664681211,47.849162078492,50.60703189693655
Palwal ,Aghwanpur(65),1964,351,medium,61.444902280834135,21.66660327120578,14.730886268543172,48.404761904761905,63.07142857142857,20.23333333333333,38.258652605017815,35.97753946826398,42.71918233450421
Palwal ,Alapur(66),2206,374,medium,54.8691229738387,23.516165842525673,14.730886268543172,49.43809523809524,65.52150537634408,20.23333333333333,38.05151817211337,35.883596607215964,41.997687254436435
Palwal ,Patli Khurd(67),1982,318,medium,68.78280360516086,23.169075694180293,14.730886268543172,35.31904761904762,64.4766355140187,20.23333333333333,37.78529700571399,35.62664305003926,43.097212774692956
Palwal ,Gugera(68),1653,297,medium,66.01674347523121,52.67858501331304,47.965956637504746,37.11904761904762,60.3938223938224,22.366666666666664,47.75680363426428,49.29331485192064,51.48415540471876
Palwal ,Amru(38),1711,289,medium,66.42382628526101,30.011030810193986,14.730886268543172,36.752380952380946,60.0,22.366666666666664,38.380798497174304,36.39802548148755,43.06676794264963
Palwal ,Jaindapur(16),1212,219,medium,67.29510677534243,20.29250665652339,42.61220996576645,41.71904761904762,60.0,24.499999999999996,42.73647850277998,42.51367698190481,46.96734133003623
Palwal ,Attar Chata(17),1711,294,medium,69.09397824278098,24.26740205401293,14.730886268543172,42.11904761904762,62.40909090909091,24.499999999999996,39.52006751557927,37.02951949357631,44.37291313375399
Palwal ,Kishorpur(18),2413,418,medium,63.92754381170469,16.582350703689613,14.730886268543172,42.11904761904762,58.110410094637224,24.499999999999996,36.661706416270384,34.07274193668214,41.06881066054568
Palwal ,Adupur(23),1522,263,medium,59.84253330604528,16.582350703689613,14.730886268543172,40.71904761904762,56.0,22.366666666666664,35.04024742733206,32.720095513304315,39.20214268187005
Palwal ,Lalwa(71),1152,170,medium,60.24567448316891,22.717383035374667,14.730886268543172,35.11904761904762,65.27956989247312,20.23333333333333,36.38764910532347,34.346175306747504,41.025763471065005
Palwal ,Raipur(74),1163,201,medium,60.02804474127166,51.538417649296306,57.00741726892354,36.31904761904762,58.40229885057471,20.23333333333333,47.25475991040786,49.795279862057576,50.44053666935631
Palwal ,Gailpur(33),1783,286,medium,64.46284003909432,21.71414986686953,44.26778242677824,58.69047619047619,64.59574468085107,24.9,46.43849886734489,46.06213471663171,50.225720218562394
Palwal ,Karna(70),2441,391,medium,65.84155135751486,49.982693039178386,14.730886268543172,37.11904761904762,56.0,19.833333333333332,40.5845852696029,39.506683354789175,44.91861521172743
Palwal ,Maheshpur(24),1975,349,medium,62.25024970609813,38.00513503233168,14.730886268543172,49.804761904761904,91.24774774774775,22.366666666666664,46.40090788769155,44.01582914405996,51.42989612358626
Palwal ,Rakhota(29),1142,175,medium,64.12856527736801,31.71947508558387,14.730886268543172,51.60476190476191,66.0,24.499999999999996,42.11394808937616,39.73661566157206,46.39040980817535
Palwal ,Dhamaka(30),1155,198,medium,69.4071396526908,20.363826550019017,40.88721947508558,49.404761904761905,79.92986425339366,34.86666666666667,49.14324641710294,47.59250171706882,53.42279561999808
Palwal ,Jalalpur Khalsa(31),1580,205,medium,64.48207984454805,22.432103461392163,45.54108025865348,49.404761904761905,62.4635761589404,22.366666666666664,44.448378049160446,44.56092010984602,48.45659370331289
Palwal ,Durgapur(76),2378,425,medium,64.07805967312808,35.91783948269303,14.730886268543172,47.72380952380952,64.64900662251655,22.366666666666664,41.57771137289284,39.57058750325918,45.94186320070885
Palwal ,Ratipur(75),1828,336,medium,66.01224171972702,48.773488018257886,47.6597565614302,46.838095238095235,60.61744966442953,34.86666666666667,50.794616311434424,51.17647140401356,53.603918002151815
